pair_id,x,y,theta,scale,found,score
pair_0000,824.480,583.834,-4.614,11.2781,1,0.99611
pair_0001,346.921,177.449,-5.271,10.6969,1,0.99554
pair_0002,0,0,0,0,0,0.52751
pair_0003,329.496,395.376,2.480,9.2313,1,0.70036
pair_0004,506.664,678.405,-0.768,9.9531,1,0.62862
pair_0005,708.483,100.290,2.552,8.6218,1,0.99437
pair_0006,643.194,495.915,1.481,8.2906,1,0.99922
pair_0007,661.782,712.800,3.100,11.2562,1,0.99955
pair_0008,526.148,217.125,-0.266,9.1312,1,0.99658
pair_0009,660.470,236.119,-1.924,11.4000,1,0.98265
pair_0010,445.471,573.685,-1.981,10.0375,1,0.99911
pair_0011,0,0,0,0,0,0.62413
pair_0012,383.040,505.194,-3.595,11.7594,1,0.99890
pair_0013,588.127,58.351,0.828,12.0750,1,0.50000
pair_0014,478.661,526.515,7.288,10.5000,1,0.52976
pair_0015,628.004,648.995,-3.952,9.1281,1,0.99989
pair_0016,613.224,887.828,1.319,11.1218,1,0.98656
pair_0017,155.064,816.074,0.813,11.2344,1,0.53495
pair_0018,470.196,786.143,-4.450,9.5187,1,0.99836
pair_0019,0,0,0,0,0,0.65423
pair_0020,146.003,682.004,1.431,8.2218,1,0.69897
pair_0021,588.801,889.832,-4.530,10.0407,1,0.99763
pair_0022,490.845,314.284,4.018,10.7500,1,0.99988
pair_0023,567.019,832.502,0.944,12.1688,1,0.44234
pair_0024,896.326,99.665,0.541,10.7063,1,0.99708
pair_0025,894.670,724.875,0.772,10.6500,1,0.99240
pair_0026,293.522,860.125,1.236,10.6781,1,0.99894
pair_0027,0,0,0,0,0,0.86723
pair_0028,180.415,427.524,3.603,8.0562,1,0.78222
pair_0029,123.860,385.609,-4.000,11.3812,1,0.67779
pair_0030,0,0,0,0,0,0.98487
pair_0031,518.824,848.891,0.600,9.1312,1,0.48570
pair_0032,702.979,166.047,2.767,8.1094,1,0.99938
pair_0033,746.950,285.616,0.734,8.6125,1,0.42508
pair_0034,225.120,278.895,2.105,11.2032,1,0.98580
pair_0035,333.280,430.656,-0.089,8.1937,1,0.99955
pair_0036,0,0,0,0,0,0.99655
pair_0037,0,0,0,0,0,0.61482
pair_0038,86.617,772.120,-3.437,10.1750,1,0.98162
pair_0039,146.061,175.319,-4.528,8.4437,1,0.99649
pair_0040,831.909,757.136,1.453,10.0000,1,0.50000
pair_0041,737.002,659.357,2.351,8.8875,1,0.47284
pair_0042,197.119,413.691,3.208,10.0219,1,0.99590
pair_0043,0,0,0,0,0,0.62480
pair_0044,699.270,683.831,-4.766,10.7500,1,0.53718
pair_0045,0,0,0,0,0,0.69810
pair_0046,109.413,402.418,0.509,9.9531,1,0.70464
pair_0047,804.537,146.750,-4.116,8.6750,1,0.51290
pair_0048,819.065,170.399,-1.857,9.2594,1,0.97509
pair_0049,872.770,595.127,6.453,10.0000,1,0.50000
pair_0050,207.670,154.694,2.676,8.6125,1,0.99989
pair_0051,785.551,383.209,-1.546,9.9625,1,0.48637
pair_0052,153.441,800.559,-0.632,8.8594,1,0.94060
pair_0053,587.752,385.578,3.446,10.1875,1,0.99859
pair_0054,764.842,166.479,-4.309,10.3062,1,0.99081
pair_0055,127.550,465.896,-4.074,9.7407,1,0.58542
pair_0056,334.707,295.790,1.453,10.0000,1,0.50000
pair_0057,94.562,811.576,2.436,11.3625,1,0.99917
pair_0058,0,0,0,0,0,0.92777
pair_0059,0,0,0,0,0,0.61756
pair_0060,138.023,853.640,-1.203,11.6500,1,0.50000
pair_0061,164.124,329.000,-0.684,9.8406,1,0.99701
pair_0062,958.500,292.748,0.703,12.0562,1,0.00009
pair_0063,0,0,0,0,0,0.79743
pair_0064,671.894,559.366,-2.646,9.8406,1,0.99896
pair_0065,0,0,0,0,0,0.52746
pair_0066,608.553,924.528,-0.656,9.8406,1,0.00047
pair_0067,741.487,94.935,5.265,9.4250,1,0.65297
